Gene	PM1	PM2	LN1	LN2
XAB2	944	882	1569	1532
XAF1	46	18	2	2
XAGE1A	0	0	0	0
XAGE1B	0	0	0	0
XAGE1C	0	0	0	0
XAGE1D	0	0	0	0
XAGE1E	0	0	0	0
XAGE2	0	0	0	0
XAGE2B	0	0	0	0
XAGE3	0	0	1	0
XAGE5	0	0	1	0
XBP1	21809	35516	3863	4271
XCL1	0	0	0	0
XCL2	0	0	0	0
XCR1	0	0	1	2
XDH	0	0	59	48
XG	90	91	0	2
XGPY2	0	0	0	0
XIAP	1938	1690	2013	1817
XIRP1	0	0	2	2
XIRP2	1	0	1	1
XIST	1	0	0	0
XK	51	53	0	1
XKR3	0	0	1	0
XKR4	0	0	0	0
XKR5	0	0	8	5
XKR6	0	0	0	0
XKR7	23	15	0	0
XKR8	144	171	198	212
XKR9	32	41	172	149
XKRX	6	3	27	26
XKRY	0	0	0	0
XKRY2	0	0	0	0
XPA	262	223	405	436
XPC	1896	1437	1312	1290
XPNPEP1	1199	1165	2505	2346
XPNPEP2	0	0	0	0
XPNPEP3	1133	854	746	848
XPO1	12572	9991	7663	7178
XPO4	3132	1785	2243	1910
XPO5	4887	2726	2147	2053
XPO6	4922	3321	3229	3152
XPO7	4025	2695	4038	3734
XPOT	8423	4136	9179	8747
XPR1	1375	1165	1482	1310
XRCC1	1356	1354	522	476
XRCC2	995	624	515	456
XRCC3	1031	842	1117	1121
XRCC4	384	342	215	254
XRCC5	15266	9614	10096	10642
XRCC6	12477	9362	7227	8084
XRCC6BP1	204	211	177	215
XRN1	853	715	1307	995
XRN2	4366	3088	3286	3231
XRRA1	159	106	206	163
XYLB	334	176	599	490
XYLT1	192	88	5	1
XYLT2	902	1016	436	418
YAF2	479	348	273	304
YAP1	2051	1678	4027	3452
YARS	3140	1374	6736	6727
YARS2	819	717	854	886
YBEY	109	176	225	247
YBX1	3909	2942	5392	6093
YBX2	910	848	34	39
YDJC	632	519	607	565
YEATS2	1240	1073	1860	1568
YEATS4	1623	1511	1422	1638
YES1	3800	2784	1686	1445
YIF1A	1537	1285	1447	1649
YIF1B	911	1029	1811	2240
YIPF1	514	764	768	945
YIPF2	1104	1334	962	1043
YIPF3	1663	2084	1470	1493
YIPF4	901	857	1029	1225
YIPF5	1128	1198	869	984
YIPF6	1499	1085	2006	1972
YIPF7	0	0	0	0
YJEFN3	48	26	53	39
YKT6	3032	2357	2217	2606
YLPM1	4106	2562	2774	2283
YME1L1	7204	5523	2986	2743
YOD1	42	27	1126	957
YPEL1	61	121	123	133
YPEL2	277	287	258	233
YPEL3	233	514	102	100
YPEL4	0	0	0	1
YPEL5	716	1084	598	664
YRDC	833	666	1104	1352
YSK4	1	0	1	1
YTHDC1	2785	2300	2283	2201
YTHDC2	799	540	1427	1315
YTHDF1	2683	2592	2111	2137
YTHDF2	1875	1467	3173	3196
YTHDF3	2524	2063	2527	2361
YWHAB	11168	9220	6762	7377
YWHAE	13716	10900	22860	25551
YWHAG	8817	5689	10112	9901
YWHAH	3712	2728	1279	1364
YWHAQ	7138	6449	9500	9942
YWHAZ	17400	18034	6117	6554
YY1	3911	3034	1985	2159
YY1AP1	2153	2073	1132	1216
YY2	120	109	146	152
ZACN	2	0	1	1
ZADH2	1427	1444	825	830
ZAK	1031	688	821	745
ZAN	4	2	0	0
ZAP70	0	3	3	3
ZAR1	0	1	0	0
ZAR1L	3	4	2	6
ZBBX	10	12	193	181
ZBED1	0	0	0	0
ZBED2	0	0	1	0
ZBED3	66	36	243	158
ZBED4	1707	1190	1376	1148
ZBED5	1107	949	1357	1523
ZBED6	1029	526	345	203
ZBP1	0	1	0	0
ZBTB1	1936	2056	1653	1631
ZBTB10	1526	1418	1016	968
ZBTB11	1476	1161	1330	1180
ZBTB12	263	308	298	301
ZBTB16	1	0	359	276
ZBTB17	317	335	435	392
ZBTB2	1455	1346	445	444
ZBTB20	0	1	3	3
ZBTB20-AS1	0	0	0	0
ZBTB22	707	884	392	498
ZBTB24	532	351	944	845
ZBTB25	313	338	298	231
ZBTB26	272	262	261	234
ZBTB3	73	78	204	218
ZBTB32	8	12	52	46
ZBTB33	907	734	1774	1577
ZBTB34	390	344	417	386
ZBTB37	91	56	91	76
ZBTB38	538	540	1225	1103
ZBTB39	694	428	521	439
ZBTB4	1831	1913	947	772
ZBTB40	1400	668	824	655
ZBTB41	1917	1728	864	667
ZBTB42	1054	1387	795	830
ZBTB43	451	400	829	716
ZBTB44	1114	850	1302	1138
ZBTB45	226	276	1077	793
ZBTB46	111	135	182	146
ZBTB47	161	203	306	295
ZBTB48	235	253	379	416
ZBTB49	184	156	134	148
ZBTB5	938	584	1069	1017
ZBTB6	896	668	863	874
ZBTB7A	1037	1151	720	656
ZBTB7B	1669	1759	3195	3000
ZBTB7C	9	5	20	27
ZBTB8A	304	289	357	362
ZBTB8B	3	5	10	16
ZBTB8OS	324	230	290	352
ZBTB9	731	473	425	415
ZC3H10	174	182	473	498
ZC3H11A	3242	2920	1498	1366
ZC3H12A	244	329	226	221
ZC3H12B	2	3	18	16
ZC3H12C	14	14	10	6
ZC3H12D	4	1	3	2
ZC3H13	4241	2682	963	753
ZC3H14	2871	2214	2272	2170
ZC3H15	3016	2276	2221	2518
ZC3H18	2661	2009	1308	1330
ZC3H3	533	462	469	328
ZC3H4	1167	916	1019	927
ZC3H6	454	470	216	159
ZC3H7A	2276	1940	1137	1015
ZC3H7B	3470	3215	1400	1397
ZC3H8	1016	679	375	357
ZC3HAV1	2439	1411	2527	2076
ZC3HAV1L	0	0	0	0
ZC3HC1	686	545	684	810
ZC4H2	3	1	673	638
ZCCHC10	437	347	516	515
ZCCHC11	4	3	1562	1200
ZCCHC12	1	0	0	0
ZCCHC13	0	0	0	0
ZCCHC14	1933	1417	580	496
ZCCHC16	0	0	4	6
ZCCHC17	559	521	876	955
ZCCHC18	7	24	12	12
ZCCHC2	1061	728	576	469
ZCCHC24	70	79	1254	1310
ZCCHC3	572	600	922	967
ZCCHC4	284	199	384	390
ZCCHC5	0	0	0	0
ZCCHC6	849	676	1046	815
ZCCHC7	510	391	496	458
ZCCHC8	1076	800	702	688
ZCCHC9	513	501	361	396
ZCRB1	1420	1144	1136	1172
ZCWPW1	118	154	66	67
ZCWPW2	22	37	15	16
ZDBF2	377	345	398	330
ZDHHC1	8	11	8	3
ZDHHC11	24	41	61	42
ZDHHC12	657	1041	1265	1303
ZDHHC13	612	473	936	990
ZDHHC14	76	84	301	342
ZDHHC15	0	0	62	58
ZDHHC16	1462	1643	1058	1107
ZDHHC17	839	738	1086	912
ZDHHC18	1296	1085	504	528
ZDHHC19	0	0	0	0
ZDHHC2	60	29	1174	1281
ZDHHC20	6757	5817	3591	3398
ZDHHC21	989	662	911	860
ZDHHC22	2	0	0	0
ZDHHC23	998	890	487	490
ZDHHC24	273	337	347	285
ZDHHC3	1456	1291	1960	1951
ZDHHC4	1174	1280	1786	1922
ZDHHC5	2260	1647	3809	3355
ZDHHC6	1596	1093	1038	1042
ZDHHC7	3269	3396	1423	1403
ZDHHC8	825	813	433	363
ZDHHC8P1	167	310	50	46
ZDHHC9	2113	1488	2266	2137
ZEB1	3	3	2	1
ZEB1-AS1	114	132	172	181
ZEB2	0	0	0	0
ZER1	1037	1186	1472	1356
ZFAND1	1402	1362	1546	1592
ZFAND2A	406	404	318	341
ZFAND2B	512	567	269	288
ZFAND3	1618	1503	1264	1196
ZFAND5	1698	1624	2692	2631
ZFAND6	1894	1700	1130	1181
ZFAT	287	216	232	205
ZFAT-AS1	0	0	0	1
ZFC3H1	2121	1765	535	493
ZFHX2	34	40	95	60
ZFHX3	2287	1208	1046	734
ZFHX4	2	5	5	5
ZFP1	1027	887	438	459
ZFP106	2174	1245	2035	1726
ZFP112	31	42	108	86
ZFP14	312	344	170	129
ZFP161	421	359	561	570
