"ID","PM1_raw","PM2_raw","LN1_raw","LN2_raw","logFC_limma","AveExpr_limma","t_limma","P.Value_limma","adj.P.Val_limma","B_limma","baseMean_deseq","baseMeanA_deseq","baseMeanB_deseq","foldChange_deseq","log2FoldChange_deseq","pval_deseq","padj_deseq","baseMean_deseq2","log2FoldChange_deseq2","lfcSE_deseq2","stat_deseq2","pvalue_deseq2","padj_deseq2"
"ZNF214",0,0,87,85,7.45529968655905,-1.45633534647308,16.7824115913123,1.08271049793264e-06,4.56608545446318e-05,5.56432228654435,42.9724803753193,0,85.9449607506385,Inf,Inf,1.15314786284255e-13,1.29717306162393e-12,42.8033307743842,6.87512270437046,1.11260176675498,6.17932031909539,6.43781577274119e-10,4.51676931950039e-09
"ZNF215",1,2,361,339,7.51986028587409,0.529401296048457,16.1802547506921,1.37347757853244e-06,5.05970183723932e-05,5.51335781286129,175.659247882425,1.52718094309844,349.791314821751,229.04379235644,7.83947965261781,2.47435872105838e-40,1.00395481985334e-38,174.960820675728,7.25508924862493,0.70632709845788,10.2715714354793,9.46501725920215e-25,2.00258539872663e-23
"ZNF217",10163,13864,3213,3092,-1.89414842527679,8.40507507006217,-9.02752731878156,5.68879971063729e-05,0.000410425223291546,2.04674993857415,7631.23646667546,12111.9378266773,3150.53510667365,0.260118170333934,-1.94276091384925,0.000102420743758749,0.00035876906390398,7634.5111043142,-1.93910793402635,0.219347779976431,-8.84033535344971,9.54317243508073e-19,1.36566668674153e-17
"ZNF22",1112,953,5,6,-7.4079421178,2.12053626830543,-19.6356969430236,3.8810336703504e-07,3.42086147469522e-05,6.62332193937013,516.624422357816,1027.7536106755,5.49523404013496,0.00534683992647147,-7.5470977986386,6.80428885121668e-78,8.76808221688728e-76,517.881856043005,-7.34502409121967,0.458319160810314,-16.026002662061,8.41229576120321e-58,6.40914251703313e-56
"ZNF222",5,4,46,50,3.30325855416194,-0.216919524667776,7.65785107112257,0.000156031331133084,0.000810717924858503,1.57039660063734,26.2172214919841,4.47081455947347,47.9636284244947,10.7281632432868,3.4233311899352,0.000157438916062025,0.000526195339777905,26.1325782731586,3.14821307936396,0.753540237655395,4.17789644406976,2.94217547525909e-05,0.000108586817403922
"ZNF223",4,10,66,63,3.27895429063375,0.227951133470972,6.54053630921887,0.000399265283704141,0.00160734016584048,0.631399922577909,35.8120657246964,7.16375382439999,64.4603776249929,8.99812852382485,3.1696249736474,2.69827246325576e-05,0.00010683316606296,35.6859628062462,2.98651770348549,0.674491525977008,4.42780611536889,9.51964130636997e-06,3.81309376491719e-05
"ZNF229",4,0,234,188,7.15159773051428,-0.0231537963460471,9.22630825039456,4.96856262448878e-05,0.000377236694189909,2.64208807655299,106.399480598985,1.88860356436879,210.910357633601,111.675293646971,6.80316623794598,2.13911571499232e-25,4.83280412427729e-24,105.958663386063,6.25247869334765,0.694451820462745,9.00347368832777,2.18686431885066e-19,3.24985660863631e-18
"ZNF23",558,503,245,243,-1.09608324455222,4.31855340056915,-6.50446440687733,0.000412400821742763,0.00164029215095571,0.0414464794637412,386.320019139536,528.800255309016,243.839782970056,0.461118882833298,-1.11678934951886,6.4680832471851e-05,0.000236947392869374,386.468954814337,-1.11735445930426,0.247144379039127,-4.52105956707745,6.15308693485123e-06,2.53432220250675e-05
"ZNF232",357,354,983,1002,1.50267424772808,5.04205099997889,9.57143967672774,3.95126911843016e-05,0.000323279319936464,2.55493806877702,673.558254166713,355.298187325019,991.818321008406,2.79150965693251,1.48104554697781,3.43018526887176e-09,2.47989030581238e-08,672.026237902805,1.46383393266534,0.220882374832978,6.62721022341521,3.42090289808574e-11,2.75779494436837e-10
"ZNF234",28,13,141,114,2.70579369267552,1.46930863366162,6.8969650604945,0.000292058862540252,0.00127177196181874,0.85620267048552,73.7614364650186,20.0779202886221,127.444952641415,6.34751761185328,2.66619249278702,5.83548286198982e-07,3.04166348278323e-06,73.528424939076,2.56558970464156,0.491666224506551,5.21815324454401,1.80715920305515e-07,9.31594013569855e-07
"ZNF238",11,2,354,291,5.90137259549323,1.20201973219346,9.90364511709071,3.19087199323731e-05,0.000285302231463956,3.08866348193263,164.301801981716,6.24868985402042,322.354914109412,51.5876002234306,5.6889524309635,7.53548101631032e-31,2.1712482257555e-29,163.640135076158,5.45525206448542,0.501063803173409,10.8873401549572,1.32452277996546e-27,3.26166246938991e-26
"ZNF239",389,362,720,723,0.963714245237409,4.85115387926497,6.22538038725743,0.000532265628106491,0.0019907392492228,-0.319205288604481,547.821766124357,374.627136047994,721.016396200719,1.92462405101468,0.944576662583367,0.000240501381738424,0.000774522072400788,546.849814445677,0.929788859600303,0.227017268695469,4.09567459314103,4.20940850469056e-05,0.00015067428451145
"ZNF253",375,298,16,13,-4.46927942552577,1.96978320692261,-13.5361980068397,4.36194277270308e-06,8.48050999446868e-05,5.00244496814421,174.374861820638,334.256061908504,14.493661732772,0.0433609540243413,-4.52745969066955,1.03280853736633e-25,2.39161338012099e-24,174.78107896421,-4.44507485957202,0.400859311042273,-11.0888651881739,1.42078671158988e-28,3.6772769945264e-27
"ZNF256",34,29,176,193,2.55408677987438,2.08911915573626,9.12874438621245,5.30818814411919e-05,0.000395086545750644,2.58087966116569,107.854733828681,31.3510660512252,184.358401606136,5.88045080524244,2.5559267587279,1.31422157015803e-08,8.76798734031125e-08,107.547103860026,2.49512854957184,0.399735497917656,6.24194889513122,4.32152160329991e-10,3.07991447423588e-09
"ZNF264",78,63,725,608,3.25257111194108,3.58521141995843,13.581738222633,4.26853101023295e-06,8.40242518662122e-05,5.10023519660007,368.123394911892,70.061216143388,666.185573680395,9.50862132220162,3.24923617643689,2.3099105517923e-25,5.20178400474004e-24,366.824514964463,3.20706198091239,0.278270089906617,11.5249971061878,9.87155191394845e-31,2.81538742459676e-29
